date,open,high,low,close,year,month,day,day_name,price_change,price_range,pct_gain_loss,ma_7,ma_30,volatility,risk_level,volume_per_million,market_trend
2018-03-28,298.39,298.8,281.61,285.77,2018,3,28,Wednesday,-12.62,17.19,-5.0,306.92,302.87,0.04,High Risk,18.97,Bearish
2018-03-29,287.0,295.35,275.9,295.35,2018,3,29,Thursday,8.35,19.45,3.0,303.75,303.85,0.05,High Risk,19.15,Bullish
2018-04-02,291.94,292.87,275.05,280.29,2018,4,2,Monday,-11.65,17.82,-5.0,298.58,303.85,0.05,High Risk,13.41,Bearish
2018-04-03,285.45,291.25,278.01,283.67,2018,4,3,Tuesday,-1.78,13.24,1.0,295.29,304.02,0.05,High Risk,12.69,Bearish
2018-04-04,273.63,290.31,271.22,288.94,2018,4,4,Wednesday,15.31,19.09,2.0,293.58,304.37,0.05,High Risk,12.91,Bullish
2018-04-05,293.15,299.16,289.11,293.97,2018,4,5,Thursday,0.82,10.05,2.0,289.81,304.8,0.04,High Risk,10.66,Bullish
2018-04-06,289.1,298.85,285.65,288.85,2018,4,6,Friday,-0.25,13.2,-2.0,288.12,305.15,0.03,High Risk,11.44,Bearish
2018-04-09,291.77,299.55,289.12,289.93,2018,4,9,Monday,-1.84,10.43,0.0,288.71,305.29,0.03,High Risk,9.85,Bearish
2018-04-10,297.68,298.95,291.69,298.07,2018,4,10,Tuesday,0.39,7.26,3.0,289.1,305.42,0.03,High Risk,10.66,Bullish
2018-04-11,302.88,311.64,301.82,303.67,2018,4,11,Wednesday,0.79,9.82,2.0,292.44,305.85,0.01,Low Risk,14.88,Bullish
2018-04-12,309.72,311.13,306.75,309.25,2018,4,12,Thursday,-0.47,4.38,2.0,296.1,306.45,0.01,Low Risk,10.25,Bearish
2018-04-13,317.29,317.49,308.23,311.65,2018,4,13,Friday,-5.64,9.26,1.0,299.34,307.16,0.01,Low Risk,12.05,Bearish
2018-04-16,315.99,316.1,304.0,307.78,2018,4,16,Monday,-8.21,12.1,-1.0,301.31,307.38,0.02,Low Risk,20.31,Bearish
2018-04-17,329.66,338.62,323.77,336.06,2018,4,17,Tuesday,6.4,14.85,9.0,308.06,308.08,0.03,High Risk,33.87,Bullish
2018-04-18,336.3,338.82,331.1,334.52,2018,4,18,Wednesday,-1.78,7.72,-0.0,314.43,308.39,0.03,High Risk,11.22,Bearish
2018-04-19,332.88,335.31,326.77,332.7,2018,4,19,Thursday,-0.18,8.54,-1.0,319.38,308.78,0.04,High Risk,8.44,Bearish
2018-04-20,332.22,336.51,326.0,327.77,2018,4,20,Friday,-4.45,10.51,-1.0,322.82,309.14,0.04,High Risk,9.16,Bearish
2018-04-23,329.15,331.22,317.08,318.69,2018,4,23,Monday,-10.46,14.14,-3.0,324.17,308.71,0.04,High Risk,8.97,Bearish
2018-04-24,319.22,320.25,302.31,307.02,2018,4,24,Tuesday,-12.2,17.94,-4.0,323.51,308.24,0.04,High Risk,13.89,Bearish
2018-04-25,306.37,309.98,292.62,305.76,2018,4,25,Wednesday,-0.61,17.36,-0.0,323.22,307.9,0.04,High Risk,14.92,Bearish
2018-04-26,310.0,316.63,305.58,313.98,2018,4,26,Thursday,3.98,11.05,3.0,320.06,307.65,0.02,Low Risk,9.27,Bullish
2018-04-27,316.25,317.45,306.5,311.76,2018,4,27,Friday,-4.49,10.95,-1.0,316.81,307.33,0.02,Low Risk,7.07,Bearish
2018-04-30,311.07,317.88,310.12,312.46,2018,4,30,Monday,1.39,7.76,0.0,313.92,307.14,0.02,Low Risk,6.09,Bullish
2018-05-01,310.36,313.48,306.69,313.3,2018,5,1,Tuesday,2.94,6.79,0.0,311.85,307.13,0.02,Low Risk,6.04,Bullish
2018-05-02,311.65,317.1,310.4,313.36,2018,5,2,Wednesday,1.71,6.7,0.0,311.09,306.99,0.02,Low Risk,5.7,Bullish
2018-05-03,312.59,312.59,305.73,311.69,2018,5,3,Thursday,-0.9,6.86,-1.0,311.76,306.83,0.01,Low Risk,6.14,Bearish
2018-05-04,308.71,320.98,307.67,320.09,2018,5,4,Friday,11.38,13.31,3.0,313.81,307.28,0.01,Low Risk,8.21,Bullish
2018-05-07,321.99,329.02,319.34,326.26,2018,5,7,Monday,4.27,9.68,2.0,315.56,308.12,0.01,Low Risk,7.12,Bullish
2018-05-08,325.9,327.35,323.05,326.89,2018,5,8,Tuesday,0.99,4.3,0.0,317.72,308.34,0.01,Low Risk,4.74,Bullish
2018-05-09,328.79,331.95,327.51,330.3,2018,5,9,Wednesday,1.51,4.44,1.0,320.27,309.33,0.01,Low Risk,5.63,Bullish
2018-05-10,331.5,332.06,327.34,329.6,2018,5,10,Thursday,-1.9,4.72,-0.0,322.6,310.79,0.01,Low Risk,5.3,Bearish
2018-05-11,329.65,331.26,324.87,326.46,2018,5,11,Friday,-3.19,6.39,-1.0,324.47,311.82,0.01,Low Risk,4.59,Bearish
2018-05-14,327.25,330.5,327.04,328.53,2018,5,14,Monday,1.28,3.46,1.0,326.88,313.43,0.01,Low Risk,4.09,Bullish
2018-05-15,325.94,326.94,322.43,326.13,2018,5,15,Tuesday,0.19,4.51,-1.0,327.74,314.85,0.01,Low Risk,4.75,Bullish
2018-05-16,326.28,329.72,325.14,328.19,2018,5,16,Wednesday,1.91,4.58,1.0,328.01,316.16,0.01,Low Risk,3.67,Bullish
2018-05-17,327.53,330.45,323.17,325.22,2018,5,17,Thursday,-2.31,7.28,-1.0,327.78,317.2,0.01,Low Risk,4.94,Bearish
2018-05-18,324.9,326.42,322.8,324.18,2018,5,18,Friday,-0.72,3.62,-0.0,326.9,318.38,0.01,Low Risk,3.58,Bearish
